Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
social-media-marketing-starter-yearly,Digital Marketing › Social Media Marketing — Starter (Yearly),<p>Ideal for getting started with basic needs.</p><p>Digital Marketing › Social Media Marketing — Starter includes:</p><ul><li>Management of 1-2 social media profiles.</li><li>10 posts per month with basic graphics.</li><li>Monthly performance report.</li></ul>,TRUE,https://mhmdigital.us/images/services/social-media-management.svg,Billing,Yearly,,,,,13329,,FALSE,FALSE,,social-media-marketing-starter-yearly,,,,,,,FALSE,,,,Digital Marketing › Social Media Marketing — Starter — Yearly | MHM Digital,Ideal for getting started with basic needs.
social-media-marketing-growth-monthly,Digital Marketing › Social Media Marketing — Growth (Monthly),<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Digital Marketing › Social Media Marketing — Growth includes:</p><ul><li>Management of 3-4 social media profiles.</li><li>20 posts per month with custom graphics and captions.</li><li>Paid ad management (up to $500 ad spend).</li><li>Bi-weekly performance report.</li></ul>,TRUE,https://mhmdigital.us/images/services/social-media-management.svg,Billing,Monthly,,,,,1329,,FALSE,FALSE,,social-media-marketing-growth-monthly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Social Media Marketing — Growth — Monthly | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
social-media-marketing-growth-yearly,Digital Marketing › Social Media Marketing — Growth (Yearly),<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Digital Marketing › Social Media Marketing — Growth includes:</p><ul><li>Management of 3-4 social media profiles.</li><li>20 posts per month with custom graphics and captions.</li><li>Paid ad management (up to $500 ad spend).</li><li>Bi-weekly performance report.</li></ul>,TRUE,https://mhmdigital.us/images/services/social-media-management.svg,Billing,Yearly,,,,,27729,,FALSE,FALSE,,social-media-marketing-growth-yearly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Social Media Marketing — Growth — Yearly | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
social-media-marketing-ultimate-monthly,Digital Marketing › Social Media Marketing — Ultimate (Monthly),"<p>For those seeking the best, most complete package.</p><p>Digital Marketing › Social Media Marketing — Ultimate includes:</p><ul><li>Full management of up to 6 profiles.</li><li>30+ posts per month with advanced graphics, videos, and engagement.</li><li>Comprehensive ad management (up to $1,000 ad spend).</li><li>Weekly performance analysis and strategy calls.</li></ul>",TRUE,https://mhmdigital.us/images/services/social-media-management.svg,Billing,Monthly,,,,,3429,,FALSE,FALSE,,social-media-marketing-ultimate-monthly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Social Media Marketing — Ultimate — Monthly | MHM Digital,"For those seeking the best, most complete package."
social-media-marketing-ultimate-yearly,Digital Marketing › Social Media Marketing — Ultimate (Yearly),"<p>For those seeking the best, most complete package.</p><p>Digital Marketing › Social Media Marketing — Ultimate includes:</p><ul><li>Full management of up to 6 profiles.</li><li>30+ posts per month with advanced graphics, videos, and engagement.</li><li>Comprehensive ad management (up to $1,000 ad spend).</li><li>Weekly performance analysis and strategy calls.</li></ul>",TRUE,https://mhmdigital.us/images/services/social-media-management.svg,Billing,Yearly,,,,,52929,,FALSE,FALSE,,social-media-marketing-ultimate-yearly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Social Media Marketing — Ultimate — Yearly | MHM Digital,"For those seeking the best, most complete package."
search-engine-optimization-starter-monthly,Digital Marketing › Search Engine Optimization — Starter (Monthly),"<p>Ideal for getting started with basic needs.</p><p>Digital Marketing › Search Engine Optimization — Starter includes:</p><ul><li>Basic on-page SEO (keywords, meta tags for up to 5 pages).</li><li>Technical audit and basic fixes.</li><li>Monthly keyword tracking and report.</li></ul>",TRUE,https://mhmdigital.us/images/services/seo.svg,Billing,Monthly,,,,,0,,FALSE,FALSE,,search-engine-optimization-starter-monthly,,,,,,,FALSE,,,,Digital Marketing › Search Engine Optimization — Starter — Monthly | MHM Digital,Ideal for getting started with basic needs.
search-engine-optimization-starter-yearly,Digital Marketing › Search Engine Optimization — Starter (Yearly),"<p>Ideal for getting started with basic needs.</p><p>Digital Marketing › Search Engine Optimization — Starter includes:</p><ul><li>Basic on-page SEO (keywords, meta tags for up to 5 pages).</li><li>Technical audit and basic fixes.</li><li>Monthly keyword tracking and report.</li></ul>",TRUE,https://mhmdigital.us/images/services/seo.svg,Billing,Yearly,,,,,8529,,FALSE,FALSE,,search-engine-optimization-starter-yearly,,,,,,,FALSE,,,,Digital Marketing › Search Engine Optimization — Starter — Yearly | MHM Digital,Ideal for getting started with basic needs.
search-engine-optimization-growth-monthly,Digital Marketing › Search Engine Optimization — Growth (Monthly),<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Digital Marketing › Search Engine Optimization — Growth includes:</p><ul><li>Comprehensive on-page and off-page SEO (10 pages).</li><li>Link building and local SEO optimization.</li><li>Monthly performance reports and strategy updates.</li></ul>,TRUE,https://mhmdigital.us/images/services/seo.svg,Billing,Monthly,,,,,429,,FALSE,FALSE,,search-engine-optimization-growth-monthly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Search Engine Optimization — Growth — Monthly | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
search-engine-optimization-growth-yearly,Digital Marketing › Search Engine Optimization — Growth (Yearly),<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Digital Marketing › Search Engine Optimization — Growth includes:</p><ul><li>Comprehensive on-page and off-page SEO (10 pages).</li><li>Link building and local SEO optimization.</li><li>Monthly performance reports and strategy updates.</li></ul>,TRUE,https://mhmdigital.us/images/services/seo.svg,Billing,Yearly,,,,,16929,,FALSE,FALSE,,search-engine-optimization-growth-yearly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Search Engine Optimization — Growth — Yearly | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
search-engine-optimization-ultimate-monthly,Digital Marketing › Search Engine Optimization — Ultimate (Monthly),"<p>For those seeking the best, most complete package.</p><p>Digital Marketing › Search Engine Optimization — Ultimate includes:</p><ul><li>Advanced SEO strategy (unlimited pages).</li><li>Technical SEO overhaul and content strategy.</li><li>Ongoing link-building campaigns and competitor analysis.</li><li>Weekly detailed performance reports.</li></ul>",TRUE,https://mhmdigital.us/images/services/seo.svg,Billing,Monthly,,,,,1929,,FALSE,FALSE,,search-engine-optimization-ultimate-monthly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Search Engine Optimization — Ultimate — Monthly | MHM Digital,"For those seeking the best, most complete package."
search-engine-optimization-ultimate-yearly,Digital Marketing › Search Engine Optimization — Ultimate (Yearly),"<p>For those seeking the best, most complete package.</p><p>Digital Marketing › Search Engine Optimization — Ultimate includes:</p><ul><li>Advanced SEO strategy (unlimited pages).</li><li>Technical SEO overhaul and content strategy.</li><li>Ongoing link-building campaigns and competitor analysis.</li><li>Weekly detailed performance reports.</li></ul>",TRUE,https://mhmdigital.us/images/services/seo.svg,Billing,Yearly,,,,,34929,,FALSE,FALSE,,search-engine-optimization-ultimate-yearly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Search Engine Optimization — Ultimate — Yearly | MHM Digital,"For those seeking the best, most complete package."
pay-per-click-advertising-starter-monthly,Digital Marketing › Pay-Per-Click Advertising — Starter (Monthly),<p>Ideal for getting started with basic needs.</p><p>Digital Marketing › Pay-Per-Click Advertising — Starter includes:</p><ul><li>Setup and management of 1 Google Ads campaign.</li><li>Monthly ad spend management up to $500.</li><li>Basic ad copy and design.</li></ul>,TRUE,https://mhmdigital.us/images/services/paid-advertising.svg,Billing,Monthly,,,,,0,,FALSE,FALSE,,pay-per-click-advertising-starter-monthly,,,,,,,FALSE,,,,Digital Marketing › Pay-Per-Click Advertising — Starter — Monthly | MHM Digital,Ideal for getting started with basic needs.
pay-per-click-advertising-starter-yearly,Digital Marketing › Pay-Per-Click Advertising — Starter (Yearly),<p>Ideal for getting started with basic needs.</p><p>Digital Marketing › Pay-Per-Click Advertising — Starter includes:</p><ul><li>Setup and management of 1 Google Ads campaign.</li><li>Monthly ad spend management up to $500.</li><li>Basic ad copy and design.</li></ul>,TRUE,https://mhmdigital.us/images/services/paid-advertising.svg,Billing,Yearly,,,,,10929,,FALSE,FALSE,,pay-per-click-advertising-starter-yearly,,,,,,,FALSE,,,,Digital Marketing › Pay-Per-Click Advertising — Starter — Yearly | MHM Digital,Ideal for getting started with basic needs.
pay-per-click-advertising-growth-monthly,Digital Marketing › Pay-Per-Click Advertising — Growth (Monthly),"<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Digital Marketing › Pay-Per-Click Advertising — Growth includes:</p><ul><li>Setup and management of multiple campaigns (Google, Bing).</li><li>Monthly ad spend management up to $1,500.</li><li>Advanced ad copy, split testing, and landing page optimization.</li></ul>",TRUE,https://mhmdigital.us/images/services/paid-advertising.svg,Billing,Monthly,,,,,929,,FALSE,FALSE,,pay-per-click-advertising-growth-monthly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Pay-Per-Click Advertising — Growth — Monthly | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
pay-per-click-advertising-growth-yearly,Digital Marketing › Pay-Per-Click Advertising — Growth (Yearly),"<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Digital Marketing › Pay-Per-Click Advertising — Growth includes:</p><ul><li>Setup and management of multiple campaigns (Google, Bing).</li><li>Monthly ad spend management up to $1,500.</li><li>Advanced ad copy, split testing, and landing page optimization.</li></ul>",TRUE,https://mhmdigital.us/images/services/paid-advertising.svg,Billing,Yearly,,,,,22929,,FALSE,FALSE,,pay-per-click-advertising-growth-yearly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Pay-Per-Click Advertising — Growth — Yearly | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
pay-per-click-advertising-ultimate-monthly,Digital Marketing › Pay-Per-Click Advertising — Ultimate (Monthly),"<p>For those seeking the best, most complete package.</p><p>Digital Marketing › Pay-Per-Click Advertising — Ultimate includes:</p><ul><li>Comprehensive PPC strategy across multiple platforms (Google, Bing, Social Media).</li><li>Monthly ad spend management up to $5,000.</li><li>Custom landing pages, advanced analytics, and conversion tracking.</li></ul>",TRUE,https://mhmdigital.us/images/services/paid-advertising.svg,Billing,Monthly,,,,,2929,,FALSE,FALSE,,pay-per-click-advertising-ultimate-monthly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Pay-Per-Click Advertising — Ultimate — Monthly | MHM Digital,"For those seeking the best, most complete package."
pay-per-click-advertising-ultimate-yearly,Digital Marketing › Pay-Per-Click Advertising — Ultimate (Yearly),"<p>For those seeking the best, most complete package.</p><p>Digital Marketing › Pay-Per-Click Advertising — Ultimate includes:</p><ul><li>Comprehensive PPC strategy across multiple platforms (Google, Bing, Social Media).</li><li>Monthly ad spend management up to $5,000.</li><li>Custom landing pages, advanced analytics, and conversion tracking.</li></ul>",TRUE,https://mhmdigital.us/images/services/paid-advertising.svg,Billing,Yearly,,,,,46929,,FALSE,FALSE,,pay-per-click-advertising-ultimate-yearly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Pay-Per-Click Advertising — Ultimate — Yearly | MHM Digital,"For those seeking the best, most complete package."
content-marketing-starter-monthly,Digital Marketing › Content Marketing — Starter (Monthly),<p>Ideal for getting started with basic needs.</p><p>Digital Marketing › Content Marketing — Starter includes:</p><ul><li>2 blog posts or articles per month (up to 500 words each).</li><li>Basic SEO optimization for content.</li><li>Monthly content performance report.</li></ul>,TRUE,https://mhmdigital.us/images/services/digital-marketing.svg,Billing,Monthly,,,,,0,,FALSE,FALSE,,content-marketing-starter-monthly,,,,,,,FALSE,,,,Digital Marketing › Content Marketing — Starter — Monthly | MHM Digital,Ideal for getting started with basic needs.
content-marketing-starter-yearly,Digital Marketing › Content Marketing — Starter (Yearly),<p>Ideal for getting started with basic needs.</p><p>Digital Marketing › Content Marketing — Starter includes:</p><ul><li>2 blog posts or articles per month (up to 500 words each).</li><li>Basic SEO optimization for content.</li><li>Monthly content performance report.</li></ul>,TRUE,https://mhmdigital.us/images/services/digital-marketing.svg,Billing,Yearly,,,,,7929,,FALSE,FALSE,,content-marketing-starter-yearly,,,,,,,FALSE,,,,Digital Marketing › Content Marketing — Starter — Yearly | MHM Digital,Ideal for getting started with basic needs.
content-marketing-growth-monthly,Digital Marketing › Content Marketing — Growth (Monthly),"<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Digital Marketing › Content Marketing — Growth includes:</p><ul><li>4 blog posts or articles per month (up to 1,000 words each).</li><li>SEO-optimized content and infographics.</li><li>Social media content distribution.</li><li>Bi-weekly performance analysis.</li></ul>",TRUE,https://mhmdigital.us/images/services/digital-marketing.svg,Billing,Monthly,,,,,429,,FALSE,FALSE,,content-marketing-growth-monthly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Content Marketing — Growth — Monthly | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
content-marketing-growth-yearly,Digital Marketing › Content Marketing — Growth (Yearly),"<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Digital Marketing › Content Marketing — Growth includes:</p><ul><li>4 blog posts or articles per month (up to 1,000 words each).</li><li>SEO-optimized content and infographics.</li><li>Social media content distribution.</li><li>Bi-weekly performance analysis.</li></ul>",TRUE,https://mhmdigital.us/images/services/digital-marketing.svg,Billing,Yearly,,,,,16929,,FALSE,FALSE,,content-marketing-growth-yearly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Content Marketing — Growth — Yearly | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
content-marketing-ultimate-monthly,Digital Marketing › Content Marketing — Ultimate (Monthly),"<p>For those seeking the best, most complete package.</p><p>Digital Marketing › Content Marketing — Ultimate includes:</p><ul><li>High-volume content strategy and production.</li><li>SEO content calendar and advanced optimization.</li><li>Multi-channel distribution support.</li><li>Detailed analytics and strategy reporting.</li></ul>",TRUE,https://mhmdigital.us/images/services/digital-marketing.svg,Billing,Monthly,,,,,1929,,FALSE,FALSE,,content-marketing-ultimate-monthly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Content Marketing — Ultimate — Monthly | MHM Digital,"For those seeking the best, most complete package."
content-marketing-ultimate-yearly,Digital Marketing › Content Marketing — Ultimate (Yearly),"<p>For those seeking the best, most complete package.</p><p>Digital Marketing › Content Marketing — Ultimate includes:</p><ul><li>High-volume content strategy and production.</li><li>SEO content calendar and advanced optimization.</li><li>Multi-channel distribution support.</li><li>Detailed analytics and strategy reporting.</li></ul>",TRUE,https://mhmdigital.us/images/services/digital-marketing.svg,Billing,Yearly,,,,,34929,,FALSE,FALSE,,content-marketing-ultimate-yearly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Content Marketing — Ultimate — Yearly | MHM Digital,"For those seeking the best, most complete package."
email-marketing-starter-monthly,Digital Marketing › Email Marketing — Starter (Monthly),"<p>Ideal for getting started with basic needs.</p><p>Digital Marketing › Email Marketing — Starter includes:</p><ul><li>1 email campaign per month.</li><li>Basic template design and content creation.</li><li>Performance tracking (open rates, click rates).</li></ul>",TRUE,https://mhmdigital.us/images/services/business-automation.svg,Billing,Monthly,,,,,0,,FALSE,FALSE,,email-marketing-starter-monthly,,,,,,,FALSE,,,,Digital Marketing › Email Marketing — Starter — Monthly | MHM Digital,Ideal for getting started with basic needs.
email-marketing-starter-yearly,Digital Marketing › Email Marketing — Starter (Yearly),"<p>Ideal for getting started with basic needs.</p><p>Digital Marketing › Email Marketing — Starter includes:</p><ul><li>1 email campaign per month.</li><li>Basic template design and content creation.</li><li>Performance tracking (open rates, click rates).</li></ul>",TRUE,https://mhmdigital.us/images/services/business-automation.svg,Billing,Yearly,,,,,4929,,FALSE,FALSE,,email-marketing-starter-yearly,,,,,,,FALSE,,,,Digital Marketing › Email Marketing — Starter — Yearly | MHM Digital,Ideal for getting started with basic needs.
email-marketing-growth-monthly,Digital Marketing › Email Marketing — Growth (Monthly),"<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Digital Marketing › Email Marketing — Growth includes:</p><ul><li>3 email campaigns per month.</li><li>Custom template design, list segmentation, and automation setup.</li><li>Monthly performance report with recommendations.</li></ul>",TRUE,https://mhmdigital.us/images/services/business-automation.svg,Billing,Monthly,,,,,0,,FALSE,FALSE,,email-marketing-growth-monthly,,,,,,,FALSE,,,,Digital Marketing › Email Marketing — Growth — Monthly | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
email-marketing-growth-yearly,Digital Marketing › Email Marketing — Growth (Yearly),"<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Digital Marketing › Email Marketing — Growth includes:</p><ul><li>3 email campaigns per month.</li><li>Custom template design, list segmentation, and automation setup.</li><li>Monthly performance report with recommendations.</li></ul>",TRUE,https://mhmdigital.us/images/services/business-automation.svg,Billing,Yearly,,,,,10929,,FALSE,FALSE,,email-marketing-growth-yearly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Email Marketing — Growth — Yearly | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
email-marketing-ultimate-monthly,Digital Marketing › Email Marketing — Ultimate (Monthly),"<p>For those seeking the best, most complete package.</p><p>Digital Marketing › Email Marketing — Ultimate includes:</p><ul><li>5+ email campaigns per month with advanced automation and personalization.</li><li>A/B testing of subject lines, content, and send times.</li><li>Detailed analytics and strategy sessions.</li></ul>",TRUE,https://mhmdigital.us/images/services/business-automation.svg,Billing,Monthly,,,,,929,,FALSE,FALSE,,email-marketing-ultimate-monthly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Email Marketing — Ultimate — Monthly | MHM Digital,"For those seeking the best, most complete package."
email-marketing-ultimate-yearly,Digital Marketing › Email Marketing — Ultimate (Yearly),"<p>For those seeking the best, most complete package.</p><p>Digital Marketing › Email Marketing — Ultimate includes:</p><ul><li>5+ email campaigns per month with advanced automation and personalization.</li><li>A/B testing of subject lines, content, and send times.</li><li>Detailed analytics and strategy sessions.</li></ul>",TRUE,https://mhmdigital.us/images/services/business-automation.svg,Billing,Yearly,,,,,22929,,FALSE,FALSE,,email-marketing-ultimate-yearly,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:45,2026-10-01 06:59,Digital Marketing › Email Marketing — Ultimate — Yearly | MHM Digital,"For those seeking the best, most complete package."
animation-2d-and-3d-starter,Animation (2D & 3D) — Starter,<p>Ideal for getting started with basic needs.</p><p>Animation (2D &amp; 3D) — Starter includes:</p><ul><li>2D animation (up to 30 seconds).</li><li>Basic animation style (simple characters or icons).</li><li>Scriptwriting and voiceover included.</li><li>One round of revisions.</li></ul>,TRUE,https://mhmdigital.us/images/services/digital-marketing.svg,,,,,,,459,,FALSE,FALSE,,animation-2d-and-3d-starter,,,,,,,FALSE,,,,Animation (2D & 3D) — Starter | MHM Digital,Ideal for getting started with basic needs.
